policy,seed,return,length,success,caught
bc,0,449.0,500,1,1
bc,1,0.0,500,0,0
bc,2,0.0,500,0,0
bc,3,0.0,500,0,0
bc,4,0.0,500,0,0
bc,5,0.0,500,0,0
bc,6,0.0,500,0,0
bc,7,346.0,500,1,1
bc,8,892.0,500,1,1
bc,9,453.0,500,1,1
bc,10,0.0,500,0,0
bc,11,0.0,500,0,0
bc,12,0.0,500,0,0
bc,13,0.0,500,0,0
bc,14,910.0,500,1,1
bc,15,216.0,500,1,1
bc,16,0.0,500,0,0
bc,17,322.0,500,1,1
bc,18,139.0,500,1,1
bc,19,0.0,500,0,0
bc,20,40.0,500,1,1
bc,21,0.0,500,0,0
bc,22,0.0,500,0,0
bc,23,297.0,500,1,1
bc,24,0.0,500,0,0
bc,25,615.0,500,1,1
bc,26,0.0,500,0,0
bc,27,926.0,500,1,1
bc,28,0.0,500,0,0
bc,29,0.0,500,0,0
bc,30,0.0,500,0,0
bc,31,472.0,500,1,1
bc,32,0.0,500,0,0
bc,33,0.0,500,0,0
bc,34,0.0,500,0,0
bc,35,889.0,500,1,1
bc,36,19.0,500,1,1
bc,37,0.0,500,0,0
bc,38,0.0,500,0,0
bc,39,377.0,500,1,1
bc,40,0.0,500,0,0
bc,41,751.0,500,1,1
bc,42,963.0,500,1,1
bc,43,294.0,500,1,1
bc,44,0.0,500,0,0
bc,45,0.0,500,0,0
bc,46,44.0,500,1,1
bc,47,0.0,500,0,0
bc,48,37.0,500,1,1
bc,49,0.0,500,0,0
bc,50,389.0,500,1,1
bc,51,0.0,500,0,0
bc,52,422.0,500,1,1
bc,53,0.0,500,0,0
bc,54,558.0,500,1,1
bc,55,0.0,500,0,0
bc,56,0.0,500,0,0
bc,57,0.0,500,0,0
bc,58,0.0,500,0,0
bc,59,626.0,500,1,1
bc,60,0.0,500,0,0
bc,61,0.0,500,0,0
bc,62,0.0,500,0,0
bc,63,0.0,500,0,0
bc,64,625.0,500,1,1
bc,65,343.0,500,1,1
bc,66,0.0,500,0,0
bc,67,912.0,500,1,1
bc,68,522.0,500,1,1
bc,69,0.0,500,0,0
bc,70,811.0,500,1,1
bc,71,767.0,500,1,1
bc,72,736.0,500,1,1
bc,73,972.0,500,1,1
bc,74,704.0,500,1,1
bc,75,0.0,500,0,0
bc,76,228.0,500,1,1
bc,77,0.0,500,0,0
bc,78,423.0,500,1,1
bc,79,949.0,500,1,1
bc,80,244.0,500,1,1
bc,81,355.0,500,1,1
bc,82,0.0,500,0,0
bc,83,0.0,500,0,0
bc,84,0.0,500,0,0
bc,85,0.0,500,0,0
bc,86,274.0,500,1,1
bc,87,231.0,500,1,1
bc,88,964.0,500,1,1
bc,89,0.0,500,0,0
bc,90,0.0,500,0,0
bc,91,0.0,500,0,0
bc,92,0.0,500,0,0
bc,93,0.0,500,0,0
bc,94,0.0,500,0,0
bc,95,0.0,500,0,0
bc,96,48.0,500,1,1
bc,97,842.0,500,1,1
bc,98,511.0,500,1,1
bc,99,338.0,500,1,1
bc,100,0.0,500,0,0
bc,101,890.0,500,1,1
bc,102,59.0,500,1,1
bc,103,455.0,500,1,1
bc,104,0.0,500,0,0
bc,105,0.0,500,0,0
bc,106,0.0,500,0,0
bc,107,0.0,500,0,0
bc,108,0.0,500,0,0
bc,109,47.0,500,1,1
bc,110,0.0,500,0,0
bc,111,0.0,500,0,0
bc,112,60.0,500,1,1
bc,113,402.0,500,1,1
bc,114,478.0,500,1,1
bc,115,0.0,500,0,0
bc,116,468.0,500,1,1
bc,117,453.0,500,1,1
bc,118,0.0,500,0,0
bc,119,0.0,500,0,0
bc,120,949.0,500,1,1
bc,121,0.0,500,0,0
bc,122,0.0,500,0,0
bc,123,0.0,500,0,0
bc,124,0.0,500,0,0
bc,125,334.0,500,1,1
bc,126,230.0,500,1,1
bc,127,0.0,500,0,0
bc,128,0.0,500,0,0
bc,129,0.0,500,0,0
bc,130,91.0,500,1,1
bc,131,949.0,500,1,1
bc,132,0.0,500,0,0
bc,133,120.0,500,1,1
bc,134,0.0,500,0,0
bc,135,528.0,500,1,1
bc,136,271.0,500,1,1
bc,137,783.0,500,1,1
bc,138,448.0,500,1,1
bc,139,17.0,500,1,1
bc,140,764.0,500,1,1
bc,141,0.0,500,0,0
bc,142,0.0,500,0,0
bc,143,0.0,500,0,0
bc,144,929.0,500,1,1
bc,145,0.0,500,0,0
bc,146,960.0,500,1,1
bc,147,0.0,500,0,0
bc,148,0.0,500,0,0
bc,149,8.0,500,1,1
bc,150,0.0,500,0,0
bc,151,711.0,500,1,1
bc,152,394.0,500,1,1
bc,153,245.0,500,1,1
bc,154,928.0,500,1,1
bc,155,0.0,500,0,0
bc,156,0.0,500,0,0
bc,157,145.0,500,1,1
bc,158,0.0,500,0,0
bc,159,0.0,500,0,0
bc,160,334.0,500,1,1
bc,161,0.0,500,0,0
bc,162,911.0,500,1,1
bc,163,0.0,500,0,0
bc,164,0.0,500,0,0
bc,165,522.0,500,1,1
bc,166,0.0,500,0,0
bc,167,0.0,500,0,0
bc,168,214.0,500,1,1
bc,169,676.0,500,1,1
bc,170,0.0,500,0,0
bc,171,0.0,500,0,0
bc,172,408.0,500,1,1
bc,173,832.0,500,1,1
bc,174,901.0,500,1,1
bc,175,0.0,500,0,0
bc,176,0.0,500,0,0
bc,177,959.0,500,1,1
bc,178,0.0,500,0,0
bc,179,122.0,500,1,1
bc,180,0.0,500,0,0
bc,181,0.0,500,0,0
bc,182,0.0,500,0,0
bc,183,0.0,500,0,0
bc,184,109.0,500,1,1
bc,185,0.0,500,0,0
bc,186,946.0,500,1,1
bc,187,0.0,500,0,0
bc,188,699.0,500,1,1
bc,189,853.0,500,1,1
bc,190,328.0,500,1,1
bc,191,335.0,500,1,1
bc,192,0.0,500,0,0
bc,193,0.0,500,0,0
bc,194,0.0,500,0,0
bc,195,194.0,500,1,1
bc,196,0.0,500,0,0
bc,197,156.0,500,1,1
bc,198,970.0,500,1,1
bc,199,943.0,500,1,1
bc,200,0.0,500,0,0
bc,201,507.0,500,1,1
bc,202,0.0,500,0,0
bc,203,710.0,500,1,1
bc,204,602.0,500,1,1
bc,205,382.0,500,1,1
bc,206,691.0,500,1,1
bc,207,85.0,500,1,1
bc,208,0.0,500,0,0
bc,209,0.0,500,0,0
bc,210,0.0,500,0,0
bc,211,0.0,500,0,0
bc,212,707.0,500,1,1
bc,213,537.0,500,1,1
bc,214,476.0,500,1,1
bc,215,402.0,500,1,1
bc,216,0.0,500,0,0
bc,217,0.0,500,0,0
bc,218,211.0,500,1,1
bc,219,518.0,500,1,1
bc,220,0.0,500,0,0
bc,221,223.0,500,1,1
bc,222,956.0,500,1,1
bc,223,394.0,500,1,1
bc,224,0.0,500,0,0
bc,225,843.0,500,1,1
bc,226,0.0,500,0,0
bc,227,0.0,500,0,0
bc,228,0.0,500,0,0
bc,229,941.0,500,1,1
bc,230,908.0,500,1,1
bc,231,0.0,500,0,0
bc,232,0.0,500,0,0
bc,233,445.0,500,1,1
bc,234,228.0,500,1,1
bc,235,0.0,500,0,0
bc,236,0.0,500,0,0
bc,237,0.0,500,0,0
bc,238,0.0,500,0,0
bc,239,0.0,500,0,0
bc,240,0.0,500,0,0
bc,241,734.0,500,1,1
bc,242,0.0,500,0,0
bc,243,0.0,500,0,0
bc,244,0.0,500,0,0
bc,245,0.0,500,0,0
bc,246,614.0,500,1,1
bc,247,926.0,500,1,1
bc,248,0.0,500,0,0
bc,249,807.0,500,1,1
bc,250,0.0,500,0,0
bc,251,0.0,500,0,0
bc,252,0.0,500,0,0
bc,253,0.0,500,0,0
bc,254,92.0,500,1,1
bc,255,0.0,500,0,0
bc,256,0.0,500,0,0
bc,257,0.0,500,0,0
bc,258,0.0,500,0,0
bc,259,0.0,500,0,0
bc,260,273.0,500,1,1
bc,261,0.0,500,0,0
bc,262,0.0,500,0,0
bc,263,716.0,500,1,1
bc,264,0.0,500,0,0
bc,265,56.0,500,1,1
bc,266,0.0,500,0,0
bc,267,271.0,500,1,1
bc,268,0.0,500,0,0
bc,269,923.0,500,1,1
bc,270,0.0,500,0,0
bc,271,705.0,500,1,1
bc,272,493.0,500,1,1
bc,273,0.0,500,0,0
bc,274,0.0,500,0,0
bc,275,930.0,500,1,1
bc,276,0.0,500,0,0
bc,277,0.0,500,0,0
bc,278,0.0,500,0,0
bc,279,0.0,500,0,0
bc,280,668.0,500,1,1
bc,281,0.0,500,0,0
bc,282,0.0,500,0,0
bc,283,0.0,500,0,0
bc,284,0.0,500,0,0
bc,285,414.0,500,1,1
bc,286,0.0,500,0,0
bc,287,0.0,500,0,0
bc,288,836.0,500,1,1
bc,289,0.0,500,0,0
bc,290,0.0,500,0,0
bc,291,193.0,500,1,1
bc,292,682.0,500,1,1
bc,293,0.0,500,0,0
bc,294,495.0,500,1,1
bc,295,0.0,500,0,0
bc,296,0.0,500,0,0
bc,297,0.0,500,0,0
bc,298,0.0,500,0,0
bc,299,216.0,500,1,1
bc,300,0.0,500,0,0
bc,301,0.0,500,0,0
bc,302,0.0,500,0,0
bc,303,35.0,500,1,1
bc,304,951.0,500,1,1
bc,305,0.0,500,0,0
bc,306,547.0,500,1,1
bc,307,131.0,500,1,1
bc,308,0.0,500,0,0
bc,309,7.0,500,1,1
bc,310,0.0,500,0,0
bc,311,0.0,500,0,0
bc,312,759.0,500,1,1
bc,313,0.0,500,0,0
bc,314,0.0,500,0,0
bc,315,0.0,500,0,0
bc,316,907.0,500,1,1
bc,317,889.0,500,1,1
bc,318,596.0,500,1,1
bc,319,0.0,500,0,0
bc,320,532.0,500,1,1
bc,321,0.0,500,0,0
bc,322,0.0,500,0,0
bc,323,0.0,500,0,0
bc,324,0.0,500,0,0
bc,325,859.0,500,1,1
bc,326,933.0,500,1,1
bc,327,905.0,500,1,1
bc,328,323.0,500,1,1
bc,329,548.0,500,1,1
bc,330,0.0,500,0,0
bc,331,282.0,500,1,1
bc,332,0.0,500,0,0
bc,333,936.0,500,1,1
bc,334,0.0,500,0,0
bc,335,0.0,500,0,0
bc,336,947.0,500,1,1
bc,337,387.0,500,1,1
bc,338,0.0,500,0,0
bc,339,0.0,500,0,0
bc,340,746.0,500,1,1
bc,341,0.0,500,0,0
