policy,seed,return,length,success,caught
phase3,0,816.0,500,1,1
phase3,1,822.0,500,1,1
phase3,2,0.0,500,0,0
phase3,3,848.0,500,1,1
phase3,4,0.0,500,0,0
phase3,5,0.0,500,0,0
phase3,6,0.0,500,0,0
phase3,7,0.0,500,0,0
phase3,8,0.0,500,0,0
phase3,9,0.0,500,0,0
phase3,10,0.0,500,0,0
phase3,11,0.0,500,0,0
phase3,12,322.0,500,1,1
phase3,13,0.0,500,0,0
phase3,14,800.0,500,1,1
phase3,15,643.0,500,1,1
phase3,16,0.0,500,0,0
phase3,17,934.0,500,1,1
phase3,18,741.0,500,1,1
phase3,19,0.0,500,0,0
phase3,20,0.0,500,0,0
phase3,21,0.0,500,0,0
phase3,22,0.0,500,0,0
phase3,23,661.0,500,1,1
phase3,24,34.0,500,1,1
phase3,25,0.0,500,0,0
phase3,26,165.0,500,1,1
phase3,27,438.0,500,1,1
phase3,28,0.0,500,0,0
phase3,29,0.0,500,0,0
phase3,30,54.0,500,1,1
phase3,31,41.0,500,1,1
phase3,32,143.0,500,1,1
phase3,33,0.0,500,0,0
phase3,34,0.0,500,0,0
phase3,35,0.0,500,0,0
phase3,36,0.0,500,0,0
phase3,37,0.0,500,0,0
phase3,38,492.0,500,1,1
phase3,39,920.0,500,1,1
phase3,40,0.0,500,0,0
phase3,41,0.0,500,0,0
phase3,42,963.0,500,1,1
phase3,43,635.0,500,1,1
phase3,44,0.0,500,0,0
phase3,45,13.0,500,1,1
phase3,46,676.0,500,1,1
phase3,47,0.0,500,0,0
phase3,48,104.0,500,1,1
phase3,49,745.0,500,1,1
phase3,50,0.0,500,0,0
phase3,51,0.0,500,0,0
phase3,52,209.0,500,1,1
phase3,53,306.0,500,1,1
phase3,54,0.0,500,0,0
phase3,55,0.0,500,0,0
phase3,56,856.0,500,1,1
phase3,57,0.0,500,0,0
phase3,58,0.0,500,0,0
phase3,59,836.0,500,1,1
phase3,60,0.0,500,0,0
phase3,61,0.0,500,0,0
phase3,62,170.0,500,1,1
phase3,63,0.0,500,0,0
phase3,64,637.0,500,1,1
phase3,65,0.0,500,0,0
phase3,66,0.0,500,0,0
phase3,67,732.0,500,1,1
phase3,68,0.0,500,0,0
phase3,69,841.0,500,1,1
phase3,70,0.0,500,0,0
phase3,71,0.0,500,0,0
phase3,72,0.0,500,0,0
phase3,73,921.0,500,1,1
phase3,74,13.0,500,1,1
phase3,75,0.0,500,0,0
phase3,76,0.0,500,0,0
phase3,77,0.0,500,0,0
phase3,78,0.0,500,0,0
phase3,79,932.0,500,1,1
phase3,80,973.0,500,1,1
phase3,81,574.0,500,1,1
phase3,82,0.0,500,0,0
phase3,83,209.0,500,1,1
phase3,84,0.0,500,0,0
phase3,85,787.0,500,1,1
phase3,86,0.0,500,0,0
phase3,87,964.0,500,1,1
phase3,88,58.0,500,1,1
phase3,89,0.0,500,0,0
phase3,90,0.0,500,0,0
phase3,91,540.0,500,1,1
phase3,92,26.0,500,1,1
phase3,93,89.0,500,1,1
phase3,94,0.0,500,0,0
phase3,95,0.0,500,0,0
phase3,96,508.0,500,1,1
phase3,97,0.0,500,0,0
phase3,98,701.0,500,1,1
phase3,99,605.0,500,1,1
phase3,100,0.0,500,0,0
phase3,101,916.0,500,1,1
phase3,102,0.0,500,0,0
phase3,103,0.0,500,0,0
phase3,104,0.0,500,0,0
phase3,105,858.0,500,1,1
phase3,106,334.0,500,1,1
phase3,107,0.0,500,0,0
phase3,108,315.0,500,1,1
phase3,109,16.0,500,1,1
phase3,110,0.0,500,0,0
phase3,111,0.0,500,0,0
phase3,112,0.0,500,0,0
phase3,113,0.0,500,0,0
phase3,114,412.0,500,1,1
phase3,115,0.0,500,0,0
phase3,116,0.0,500,0,0
phase3,117,959.0,500,1,1
phase3,118,0.0,500,0,0
phase3,119,0.0,500,0,0
phase3,120,809.0,500,1,1
phase3,121,0.0,500,0,0
phase3,122,590.0,500,1,1
phase3,123,0.0,500,0,0
phase3,124,602.0,500,1,1
