timestep,abs_latent_delta,mse_true_actions,mse_shuffled_actions
0,0.0,3.0318896770477295,3.0318896770477295
1,0.03672578185796738,0.1481805294752121,0.1592719554901123
2,0.07551010698080063,0.2631462514400482,0.2903686761856079
3,0.08056910336017609,0.0935538187623024,0.13051414489746094
4,0.09934093803167343,0.24695901572704315,0.2913394272327423
5,0.09847881644964218,0.09963890165090561,0.15219250321388245
6,0.12195364385843277,0.29189440608024597,0.3509836792945862
7,0.1087682768702507,0.07568980753421783,0.1349492073059082
