batch,latent_mse
0,0.5579289197921753
1,0.546168863773346
2,0.5904900431632996
3,0.513636589050293
4,0.5317368507385254
5,0.5096741914749146
6,0.5128128528594971
7,0.49834319949150085
8,0.577831506729126
9,0.5310522317886353
10,0.5361605882644653
11,0.5336408019065857
12,0.5586768388748169
13,0.6186085939407349
14,0.39645081758499146
15,0.47025999426841736
16,0.44591110944747925
17,0.5308608412742615
18,0.525721549987793
19,0.46594440937042236
20,0.5711992979049683
21,0.5461262464523315
22,0.5344010591506958
23,0.48724234104156494
24,0.5701202154159546
25,0.564096212387085
26,0.4342308044433594
27,0.4853811264038086
28,0.6040408611297607
29,0.5963732004165649
30,0.6033002138137817
31,0.5640815496444702
32,0.4094848036766052
33,0.4389500319957733
34,0.5385774374008179
35,0.42591091990470886
36,0.6143104434013367
37,0.6782716512680054
38,0.5561565160751343
39,0.5407587289810181
40,0.47147321701049805
41,0.5266842842102051
42,0.6144261956214905
43,0.47626468539237976
44,0.5466728806495667
45,0.5529540181159973
46,0.5169649720191956
47,0.5492236614227295
48,0.548051118850708
49,0.6132685542106628
50,0.553397536277771
51,0.5720078945159912
52,0.5438870787620544
53,0.6000645756721497
54,0.4991067349910736
55,0.5658440589904785
56,0.4696071445941925
57,0.5417934060096741
58,0.5679689049720764
59,0.6420314311981201
60,0.5889896154403687
61,0.4793153405189514
62,0.5871838331222534
63,0.4883197546005249
64,0.49521395564079285
65,0.4157758355140686
66,0.5634296536445618
67,0.4861365556716919
68,0.6140005588531494
69,0.5558255910873413
70,0.3879700303077698
71,0.46900394558906555
72,0.5998878479003906
73,0.40853607654571533
74,0.5655276775360107
75,0.46450695395469666
76,0.4265531301498413
77,0.5767792463302612
78,0.5774121284484863
79,0.5725449323654175
