d_value,count,latent_mse
1.0,772,0.47684425188450463
0.5,740,0.5096450096751387
0.25,730,0.7163814212769678
0.125,762,0.6133212770220489
0.0625,724,0.7357697364210424
0.03125,677,0.6605273722017534
0.015625,715,0.0072240883604968555
