tau_start,tau_end,d_value,count,latent_mse
0.0,0.20000000298023224,1.0,684,0.015252612689128744
0.0,0.20000000298023224,0.5,350,0.01574188154190779
0.0,0.20000000298023224,0.25,172,0.014846214994809828
0.0,0.20000000298023224,0.125,155,0.015036983565697748
0.0,0.20000000298023224,0.0625,158,0.013854759697039034
0.0,0.20000000298023224,0.03125,146,0.013322093223432105
0.0,0.20000000298023224,0.015625,126,0.013132463770619194
0.20000000298023224,0.4000000059604645,1.0,0,0.0
0.20000000298023224,0.4000000059604645,0.5,0,0.0
0.20000000298023224,0.4000000059604645,0.25,154,0.013498599328064397
0.20000000298023224,0.4000000059604645,0.125,164,0.027429405064605995
0.20000000298023224,0.4000000059604645,0.0625,107,0.06439026718671982
0.20000000298023224,0.4000000059604645,0.03125,106,0.04341157922029214
0.20000000298023224,0.4000000059604645,0.015625,134,0.014122890562180485
0.4000000059604645,0.6000000238418579,1.0,0,0.0
0.4000000059604645,0.6000000238418579,0.5,295,0.21789757714812028
0.4000000059604645,0.6000000238418579,0.25,149,0.20211852041866954
0.4000000059604645,0.6000000238418579,0.125,95,0.19059305433183907
0.4000000059604645,0.6000000238418579,0.0625,104,0.252680435230454
0.4000000059604645,0.6000000238418579,0.03125,118,0.2055594318830487
0.4000000059604645,0.6000000238418579,0.015625,110,0.00698967664502561
0.6000000238418579,0.800000011920929,1.0,0,0.0
0.6000000238418579,0.800000011920929,0.5,0,0.0
0.6000000238418579,0.800000011920929,0.25,151,0.49654188628820395
0.6000000238418579,0.800000011920929,0.125,171,0.5683768858686525
0.6000000238418579,0.800000011920929,0.0625,128,0.5517736030451488
0.6000000238418579,0.800000011920929,0.03125,110,0.5051742788404227
0.6000000238418579,0.800000011920929,0.015625,132,0.004085456059053258
0.800000011920929,1.0,1.0,88,4.0646701942790635
0.800000011920929,1.0,0.5,95,3.2352406777833638
0.800000011920929,1.0,0.25,104,3.9733905746386604
0.800000011920929,1.0,0.125,177,1.9504116912514475
0.800000011920929,1.0,0.0625,227,1.8797916049211563
0.800000011920929,1.0,0.03125,197,1.8314984604186817
0.800000011920929,1.0,0.015625,213,0.0014550272236521326
