policy,seed,return,length,success,caught
phase3,0,938.0,500,1,1
phase3,1,0.0,500,0,0
phase3,2,570.0,500,1,1
phase3,3,0.0,500,0,0
phase3,4,815.0,500,1,1
phase3,5,203.0,500,1,1
phase3,6,529.0,500,1,1
phase3,7,0.0,500,0,0
phase3,8,0.0,500,0,0
phase3,9,111.0,500,1,1
phase3,10,0.0,500,0,0
phase3,11,0.0,500,0,0
phase3,12,0.0,500,0,0
phase3,13,0.0,500,0,0
phase3,14,944.0,500,1,1
phase3,15,507.0,500,1,1
phase3,16,0.0,500,0,0
phase3,17,0.0,500,0,0
phase3,18,748.0,500,1,1
phase3,19,0.0,500,0,0
phase3,20,0.0,500,0,0
phase3,21,0.0,500,0,0
phase3,22,520.0,500,1,1
phase3,23,0.0,500,0,0
phase3,24,0.0,500,0,0
phase3,25,525.0,500,1,1
phase3,26,0.0,500,0,0
phase3,27,940.0,500,1,1
phase3,28,0.0,500,0,0
phase3,29,0.0,500,0,0
phase3,30,0.0,500,0,0
phase3,31,0.0,500,0,0
phase3,32,157.0,500,1,1
phase3,33,44.0,500,1,1
phase3,34,0.0,500,0,0
phase3,35,0.0,500,0,0
phase3,36,0.0,500,0,0
phase3,37,861.0,500,1,1
phase3,38,314.0,500,1,1
phase3,39,820.0,500,1,1
phase3,40,0.0,500,0,0
phase3,41,0.0,500,0,0
phase3,42,973.0,500,1,1
phase3,43,0.0,500,0,0
phase3,44,0.0,500,0,0
phase3,45,0.0,500,0,0
phase3,46,306.0,500,1,1
phase3,47,0.0,500,0,0
phase3,48,873.0,500,1,1
phase3,49,0.0,500,0,0
phase3,50,0.0,500,0,0
phase3,51,62.0,500,1,1
phase3,52,0.0,500,0,0
phase3,53,0.0,500,0,0
phase3,54,869.0,500,1,1
phase3,55,614.0,500,1,1
phase3,56,702.0,500,1,1
phase3,57,0.0,500,0,0
phase3,58,0.0,500,0,0
phase3,59,0.0,500,0,0
phase3,60,0.0,500,0,0
phase3,61,22.0,500,1,1
phase3,62,891.0,500,1,1
phase3,63,0.0,500,0,0
phase3,64,667.0,500,1,1
phase3,65,0.0,500,0,0
phase3,66,0.0,500,0,0
phase3,67,945.0,500,1,1
phase3,68,0.0,500,0,0
phase3,69,786.0,500,1,1
phase3,70,0.0,500,0,0
phase3,71,288.0,500,1,1
phase3,72,0.0,500,0,0
phase3,73,963.0,500,1,1
phase3,74,0.0,500,0,0
phase3,75,0.0,500,0,0
