policy,seed,return,length,success,caught
phase3,0,701.0,500,1,1
phase3,1,314.0,500,1,1
phase3,2,0.0,500,0,0
phase3,3,844.0,500,1,1
phase3,4,0.0,500,0,0
phase3,5,0.0,500,0,0
phase3,6,622.0,500,1,1
phase3,7,0.0,500,0,0
phase3,8,0.0,500,0,0
phase3,9,8.0,500,1,1
phase3,10,0.0,500,0,0
phase3,11,0.0,500,0,0
phase3,12,0.0,500,0,0
phase3,13,0.0,500,0,0
phase3,14,953.0,500,1,1
phase3,15,0.0,500,0,0
phase3,16,0.0,500,0,0
phase3,17,823.0,500,1,1
phase3,18,0.0,500,0,0
phase3,19,0.0,500,0,0
phase3,20,0.0,500,0,0
phase3,21,0.0,500,0,0
phase3,22,561.0,500,1,1
phase3,23,0.0,500,0,0
phase3,24,0.0,500,0,0
phase3,25,0.0,500,0,0
phase3,26,599.0,500,1,1
phase3,27,714.0,500,1,1
phase3,28,635.0,500,1,1
phase3,29,493.0,500,1,1
phase3,30,0.0,500,0,0
phase3,31,0.0,500,0,0
phase3,32,0.0,500,0,0
phase3,33,0.0,500,0,0
phase3,34,0.0,500,0,0
phase3,35,808.0,500,1,1
phase3,36,0.0,500,0,0
phase3,37,450.0,500,1,1
phase3,38,0.0,500,0,0
phase3,39,860.0,500,1,1
phase3,40,508.0,500,1,1
phase3,41,746.0,500,1,1
phase3,42,977.0,500,1,1
phase3,43,0.0,500,0,0
phase3,44,0.0,500,0,0
phase3,45,675.0,500,1,1
phase3,46,0.0,500,0,0
phase3,47,227.0,500,1,1
phase3,48,0.0,500,0,0
phase3,49,443.0,500,1,1
phase3,50,790.0,500,1,1
phase3,51,0.0,500,0,0
phase3,52,0.0,500,0,0
phase3,53,619.0,500,1,1
phase3,54,0.0,500,0,0
phase3,55,0.0,500,0,0
phase3,56,0.0,500,0,0
phase3,57,0.0,500,0,0
phase3,58,0.0,500,0,0
phase3,59,58.0,500,1,1
phase3,60,82.0,500,1,1
phase3,61,0.0,500,0,0
phase3,62,0.0,500,0,0
phase3,63,0.0,500,0,0
phase3,64,0.0,500,0,0
phase3,65,0.0,500,0,0
phase3,66,575.0,500,1,1
phase3,67,954.0,500,1,1
phase3,68,0.0,500,0,0
phase3,69,925.0,500,1,1
phase3,70,0.0,500,0,0
phase3,71,0.0,500,0,0
phase3,72,0.0,500,0,0
phase3,73,974.0,500,1,1
phase3,74,0.0,500,0,0
phase3,75,642.0,500,1,1
phase3,76,0.0,500,0,0
phase3,77,0.0,500,0,0
phase3,78,166.0,500,1,1
phase3,79,976.0,500,1,1
phase3,80,957.0,500,1,1
phase3,81,0.0,500,0,0
phase3,82,39.0,500,1,1
phase3,83,0.0,500,0,0
phase3,84,0.0,500,0,0
phase3,85,0.0,500,0,0
phase3,86,0.0,500,0,0
phase3,87,944.0,500,1,1
phase3,88,956.0,500,1,1
phase3,89,0.0,500,0,0
phase3,90,0.0,500,0,0
phase3,91,546.0,500,1,1
phase3,92,0.0,500,0,0
phase3,93,765.0,500,1,1
phase3,94,0.0,500,0,0
phase3,95,0.0,500,0,0
phase3,96,956.0,500,1,1
phase3,97,794.0,500,1,1
phase3,98,0.0,500,0,0
phase3,99,379.0,500,1,1
phase3,100,300.0,500,1,1
phase3,101,43.0,500,1,1
phase3,102,0.0,500,0,0
phase3,103,0.0,500,0,0
phase3,104,0.0,500,0,0
phase3,105,107.0,500,1,1
phase3,106,0.0,500,0,0
phase3,107,0.0,500,0,0
phase3,108,0.0,500,0,0
phase3,109,0.0,500,0,0
phase3,110,0.0,500,0,0
phase3,111,0.0,500,0,0
phase3,112,0.0,500,0,0
phase3,113,0.0,500,0,0
phase3,114,0.0,500,0,0
phase3,115,0.0,500,0,0
phase3,116,934.0,500,1,1
phase3,117,0.0,500,0,0
phase3,118,369.0,500,1,1
phase3,119,0.0,500,0,0
phase3,120,937.0,500,1,1
phase3,121,909.0,500,1,1
phase3,122,177.0,500,1,1
phase3,123,0.0,500,0,0
phase3,124,441.0,500,1,1
phase3,125,556.0,500,1,1
phase3,126,0.0,500,0,0
phase3,127,0.0,500,0,0
phase3,128,177.0,500,1,1
phase3,129,0.0,500,0,0
phase3,130,0.0,500,0,0
phase3,131,0.0,500,0,0
phase3,132,0.0,500,0,0
phase3,133,0.0,500,0,0
phase3,134,0.0,500,0,0
phase3,135,0.0,500,0,0
phase3,136,0.0,500,0,0
phase3,137,267.0,500,1,1
phase3,138,0.0,500,0,0
phase3,139,950.0,500,1,1
phase3,140,0.0,500,0,0
phase3,141,146.0,500,1,1
phase3,142,0.0,500,0,0
phase3,143,0.0,500,0,0
phase3,144,957.0,500,1,1
phase3,145,0.0,500,0,0
phase3,146,973.0,500,1,1
phase3,147,0.0,500,0,0
phase3,148,0.0,500,0,0
phase3,149,0.0,500,0,0
phase3,150,296.0,500,1,1
phase3,151,0.0,500,0,0
phase3,152,0.0,500,0,0
phase3,153,0.0,500,0,0
phase3,154,967.0,500,1,1
phase3,155,271.0,500,1,1
phase3,156,0.0,500,0,0
phase3,157,0.0,500,0,0
phase3,158,0.0,500,0,0
phase3,159,0.0,500,0,0
phase3,160,0.0,500,0,0
phase3,161,572.0,500,1,1
phase3,162,927.0,500,1,1
phase3,163,0.0,500,0,0
phase3,164,584.0,500,1,1
phase3,165,409.0,500,1,1
phase3,166,308.0,500,1,1
phase3,167,0.0,500,0,0
phase3,168,541.0,500,1,1
phase3,169,750.0,500,1,1
phase3,170,0.0,500,0,0
phase3,171,0.0,500,0,0
phase3,172,0.0,500,0,0
phase3,173,0.0,500,0,0
phase3,174,0.0,500,0,0
phase3,175,0.0,500,0,0
phase3,176,0.0,500,0,0
phase3,177,952.0,500,1,1
phase3,178,0.0,500,0,0
phase3,179,0.0,500,0,0
phase3,180,0.0,500,0,0
phase3,181,0.0,500,0,0
phase3,182,814.0,500,1,1
phase3,183,294.0,500,1,1
phase3,184,0.0,500,0,0
phase3,185,569.0,500,1,1
phase3,186,965.0,500,1,1
phase3,187,936.0,500,1,1
phase3,188,955.0,500,1,1
phase3,189,0.0,500,0,0
phase3,190,0.0,500,0,0
phase3,191,0.0,500,0,0
phase3,192,0.0,500,0,0
phase3,193,72.0,500,1,1
phase3,194,341.0,500,1,1
phase3,195,0.0,500,0,0
phase3,196,382.0,500,1,1
phase3,197,94.0,500,1,1
phase3,198,0.0,500,0,0
phase3,199,972.0,500,1,1
