offset,mtp_action_mse_vs_offset,mtp_action_nll_vs_offset,mtp_reward_mse_vs_offset,mtp_reward_pearson_vs_offset,mtp_reward_event_auc_vs_offset,mtp_continue_auc_vs_offset,mtp_continue_bce_vs_offset
0,0.09101684391498566,-0.41463974118232727,0.019232094287872314,0.9897483924250207,0.9997330498464446,nan,0.00014751116395927966
1,0.20371626317501068,0.5733350515365601,0.024265166372060776,0.9870132546347514,0.9998110184654606,nan,0.00017680013843346387
2,0.21868745982646942,0.6901425719261169,0.033214371651411057,0.9821721374327648,0.9994580274050672,nan,0.00019543971575330943
3,0.22438131272792816,0.7346168160438538,0.03945019841194153,0.9787677319919978,0.9990346918712765,nan,0.00024728276184760034
4,0.22851510345935822,0.7643639445304871,0.046053238213062286,0.9751447134453642,0.9972119653064093,nan,0.00029672577511519194
5,0.2310333102941513,0.7794919610023499,0.05190642550587654,0.971919808651688,0.9961196565995263,nan,0.00042388998554088175
6,0.23141838610172272,0.7883899807929993,0.06054981052875519,0.9671436653250481,0.9955427577596752,nan,0.000718248775228858
7,0.22968007624149323,0.7897973656654358,0.06890446692705154,0.9625471586752354,0.9947599408489717,nan,0.000646678963676095
8,0.22814179956912994,0.7966687679290771,0.07461754977703094,0.9593564879037733,0.9938916981339265,nan,7.013398862909526e-05
