step,reward_policy,reward_teacher,continue_policy,continue_teacher
0,1.1779084727168083,1.1793066188693047,0.9998244568705559,0.999824732542038
1,1.230601280927658,1.2009293884038925,0.9997883066534996,0.9997901171445847
2,1.2422303706407547,1.2095053419470787,0.9998180046677589,0.9998234808444977
3,1.2422726526856422,1.208506964147091,0.9997882470488548,0.9997924193739891
4,1.2442228943109512,1.2081149965524673,0.9998134225606918,0.9998220428824425
5,1.2436530217528343,1.2124976515769958,0.9997896030545235,0.999791108071804
6,1.245190605521202,1.213442862033844,0.9998128935694695,0.999816544353962
7,1.244785837829113,1.214404359459877,0.9997899234294891,0.9997920319437981
8,1.2457956373691559,1.2133733630180359,0.9998098760843277,0.9998194798827171
9,1.245879352092743,1.2088806852698326,0.9997879937291145,0.9997926205396652
10,1.2307307794690132,1.2032254487276077,0.9998076409101486,0.9998191669583321
11,1.245843544602394,1.2134330868721008,0.999785915017128,0.999789297580719
12,1.2449901774525642,1.2131421491503716,0.9998088404536247,0.9998155981302261
13,1.2376002073287964,1.214967057108879,0.9997863620519638,0.9997894540429115
14,1.2474173083901405,1.2132384702563286,0.9998040348291397,0.9998118802905083
15,1.247484877705574,1.2149374410510063,0.9997826293110847,0.999787226319313
