tau,reward_mse,reward_pearson,reward_event_auc,continue_auc,continue_bce,action_mse,action_nll
0.1,0.7441012859344482,0.5591170978691345,0.8346810871614021,0.5837630879824973,0.001546649495139718,0.22105936706066132,1.342966914176941
0.3,0.16160590946674347,0.9099906379393896,0.9829507478908149,nan,0.00025274991639889777,0.19290629029273987,1.0861060619354248
0.5,0.038297466933727264,0.9802008829976231,0.9989327124283477,nan,0.000225784708163701,0.15417854487895966,0.19846901297569275
0.7,0.023394659161567688,0.9878911118167153,0.9996809622781597,0.670873710534542,0.002794624539092183,0.1152515858411789,-0.20372013747692108
0.9,0.026111550629138947,0.9863850275055268,0.9992466545739824,nan,0.00014722306514158845,0.09702921658754349,-0.19924969971179962
1.0,0.022902989760041237,0.9878887981846555,0.9992212934770177,nan,0.00020811133435927331,0.09517262876033783,-0.29144278168678284
