offset,mtp_action_mse_vs_offset,mtp_action_nll_vs_offset,mtp_reward_mse_vs_offset,mtp_reward_pearson_vs_offset,mtp_reward_event_auc_vs_offset,mtp_continue_auc_vs_offset,mtp_continue_bce_vs_offset
0,0.23893572390079498,1.3952339887619019,0.1714305579662323,0.9520864439332318,1.0,nan,0.00036670430563390255
1,0.2392044961452484,1.3815866708755493,0.18007692694664001,0.9479650350201791,0.9994444444444445,nan,0.09928491711616516
2,0.23029731214046478,1.3769937753677368,0.30535438656806946,0.8752424289072405,0.9901147959183674,nan,0.3067076504230499
3,0.24105703830718994,1.4892159700393677,0.5239234566688538,0.7812854599720421,0.9696745562130178,nan,0.5301015377044678
4,0.2508685290813446,1.7376669645309448,0.6749036908149719,0.7003480011922834,0.9379340277777778,nan,0.6495352387428284
5,0.2569306194782257,2.7192583084106445,0.734373152256012,0.6586953533200217,0.9287190082644629,nan,0.7844568490982056
6,0.27746108174324036,8.026440620422363,1.0056183338165283,0.510692981770346,0.853125,nan,1.3806006908416748
7,0.2930813133716583,9.98442268371582,1.470703363418579,0.306033457876208,0.9058641975308642,nan,2.7036430835723877
8,0.30110689997673035,10.45432186126709,1.8568841218948364,0.8321634354154974,0.98046875,nan,3.3988263607025146
