policy,seed,return,length,success,caught
phase3,0,920.0,500,1,1
phase3,1,0.0,500,0,0
phase3,2,472.0,500,1,1
phase3,3,163.0,500,1,1
phase3,4,520.0,500,1,1
phase3,5,671.0,500,1,1
phase3,6,265.0,500,1,1
phase3,7,127.0,500,1,1
phase3,8,0.0,500,0,0
phase3,9,255.0,500,1,1
phase3,10,902.0,500,1,1
phase3,11,0.0,500,0,0
phase3,12,909.0,500,1,1
phase3,13,468.0,500,1,1
phase3,14,369.0,500,1,1
phase3,15,0.0,500,0,0
phase3,16,331.0,500,1,1
phase3,17,498.0,500,1,1
phase3,18,352.0,500,1,1
phase3,19,410.0,500,1,1
phase3,20,0.0,500,0,0
phase3,21,261.0,500,1,1
phase3,22,361.0,500,1,1
phase3,23,935.0,500,1,1
phase3,24,0.0,500,0,0
phase3,25,483.0,500,1,1
phase3,26,787.0,500,1,1
phase3,27,681.0,500,1,1
phase3,28,169.0,500,1,1
phase3,29,0.0,500,0,0
phase3,30,0.0,500,0,0
phase3,31,0.0,500,0,0
phase3,32,744.0,500,1,1
phase3,33,952.0,500,1,1
phase3,34,306.0,500,1,1
phase3,35,0.0,500,0,0
phase3,36,0.0,500,0,0
phase3,37,0.0,500,0,0
phase3,38,0.0,500,0,0
phase3,39,947.0,500,1,1
phase3,40,0.0,500,0,0
phase3,41,0.0,500,0,0
phase3,42,964.0,500,1,1
phase3,43,423.0,500,1,1
phase3,44,65.0,500,1,1
phase3,45,129.0,500,1,1
phase3,46,481.0,500,1,1
phase3,47,0.0,500,0,0
phase3,48,838.0,500,1,1
phase3,49,627.0,500,1,1
phase3,50,94.0,500,1,1
phase3,51,870.0,500,1,1
phase3,52,85.0,500,1,1
phase3,53,585.0,500,1,1
phase3,54,0.0,500,0,0
phase3,55,859.0,500,1,1
phase3,56,334.0,500,1,1
phase3,57,0.0,500,0,0
phase3,58,0.0,500,0,0
phase3,59,0.0,500,0,0
phase3,60,0.0,500,0,0
phase3,61,505.0,500,1,1
phase3,62,39.0,500,1,1
phase3,63,258.0,500,1,1
phase3,64,512.0,500,1,1
phase3,65,51.0,500,1,1
phase3,66,0.0,500,0,0
phase3,67,977.0,500,1,1
phase3,68,174.0,500,1,1
phase3,69,762.0,500,1,1
phase3,70,0.0,500,0,0
phase3,71,700.0,500,1,1
phase3,72,0.0,500,0,0
phase3,73,967.0,500,1,1
phase3,74,580.0,500,1,1
phase3,75,296.0,500,1,1
phase3,76,0.0,500,0,0
phase3,77,342.0,500,1,1
phase3,78,731.0,500,1,1
phase3,79,977.0,500,1,1
phase3,80,977.0,500,1,1
phase3,81,0.0,500,0,0
phase3,82,711.0,500,1,1
phase3,83,0.0,500,0,0
phase3,84,0.0,500,0,0
phase3,85,0.0,500,0,0
phase3,86,903.0,500,1,1
phase3,87,759.0,500,1,1
phase3,88,970.0,500,1,1
phase3,89,0.0,500,0,0
phase3,90,0.0,500,0,0
phase3,91,593.0,500,1,1
phase3,92,164.0,500,1,1
phase3,93,674.0,500,1,1
phase3,94,546.0,500,1,1
phase3,95,0.0,500,0,0
phase3,96,706.0,500,1,1
phase3,97,785.0,500,1,1
phase3,98,0.0,500,0,0
phase3,99,161.0,500,1,1
phase3,100,520.0,500,1,1
phase3,101,951.0,500,1,1
phase3,102,715.0,500,1,1
phase3,103,431.0,500,1,1
phase3,104,259.0,500,1,1
phase3,105,714.0,500,1,1
phase3,106,0.0,500,0,0
phase3,107,680.0,500,1,1
phase3,108,393.0,500,1,1
phase3,109,43.0,500,1,1
phase3,110,296.0,500,1,1
phase3,111,687.0,500,1,1
phase3,112,0.0,500,0,0
phase3,113,660.0,500,1,1
phase3,114,422.0,500,1,1
phase3,115,746.0,500,1,1
phase3,116,236.0,500,1,1
phase3,117,0.0,500,0,0
phase3,118,748.0,500,1,1
phase3,119,0.0,500,0,0
phase3,120,953.0,500,1,1
phase3,121,0.0,500,0,0
phase3,122,0.0,500,0,0
phase3,123,596.0,500,1,1
phase3,124,24.0,500,1,1
phase3,125,732.0,500,1,1
phase3,126,426.0,500,1,1
phase3,127,835.0,500,1,1
phase3,128,0.0,500,0,0
phase3,129,758.0,500,1,1
phase3,130,150.0,500,1,1
phase3,131,545.0,500,1,1
phase3,132,192.0,500,1,1
phase3,133,287.0,500,1,1
phase3,134,219.0,500,1,1
phase3,135,0.0,500,0,0
phase3,136,872.0,500,1,1
phase3,137,255.0,500,1,1
phase3,138,0.0,500,0,0
phase3,139,969.0,500,1,1
phase3,140,749.0,500,1,1
phase3,141,106.0,500,1,1
phase3,142,0.0,500,0,0
phase3,143,399.0,500,1,1
phase3,144,529.0,500,1,1
phase3,145,87.0,500,1,1
phase3,146,974.0,500,1,1
phase3,147,0.0,500,0,0
phase3,148,0.0,500,0,0
phase3,149,57.0,500,1,1
phase3,150,0.0,500,0,0
phase3,151,626.0,500,1,1
phase3,152,936.0,500,1,1
phase3,153,172.0,500,1,1
phase3,154,974.0,500,1,1
phase3,155,351.0,500,1,1
phase3,156,247.0,500,1,1
phase3,157,0.0,500,0,0
phase3,158,0.0,500,0,0
phase3,159,567.0,500,1,1
phase3,160,0.0,500,0,0
phase3,161,0.0,500,0,0
phase3,162,321.0,500,1,1
phase3,163,0.0,500,0,0
phase3,164,0.0,500,0,0
phase3,165,257.0,500,1,1
phase3,166,721.0,500,1,1
phase3,167,283.0,500,1,1
phase3,168,30.0,500,1,1
phase3,169,0.0,500,0,0
phase3,170,0.0,500,0,0
phase3,171,941.0,500,1,1
phase3,172,757.0,500,1,1
phase3,173,0.0,500,0,0
phase3,174,0.0,500,0,0
phase3,175,197.0,500,1,1
phase3,176,347.0,500,1,1
phase3,177,968.0,500,1,1
phase3,178,432.0,500,1,1
phase3,179,0.0,500,0,0
phase3,180,159.0,500,1,1
phase3,181,668.0,500,1,1
phase3,182,0.0,500,0,0
phase3,183,0.0,500,0,0
phase3,184,183.0,500,1,1
phase3,185,6.0,500,1,1
phase3,186,984.0,500,1,1
phase3,187,548.0,500,1,1
phase3,188,935.0,500,1,1
phase3,189,0.0,500,0,0
phase3,190,561.0,500,1,1
phase3,191,717.0,500,1,1
phase3,192,446.0,500,1,1
phase3,193,517.0,500,1,1
phase3,194,375.0,500,1,1
phase3,195,672.0,500,1,1
phase3,196,162.0,500,1,1
