offset,mtp_action_mse_vs_offset,mtp_action_nll_vs_offset,mtp_reward_mse_vs_offset,mtp_reward_pearson_vs_offset,mtp_reward_event_auc_vs_offset,mtp_continue_auc_vs_offset,mtp_continue_bce_vs_offset
0,0.2195095270872116,4.91098690032959,0.024022730067372322,0.9872157676149217,0.9997550229536242,0.7844490752800208,0.0023369055707007647
1,0.2846105098724365,5.395161151885986,0.035219550132751465,0.981154557249881,0.999379915696058,0.7397540983606558,0.002472124993801117
2,0.27186694741249084,5.534783363342285,0.04148687794804573,0.9777292454168414,0.9982640336199504,0.8605611789222983,0.002599395113065839
3,0.259311705827713,5.596477031707764,0.0480368435382843,0.9741346570615839,0.997150563810702,0.7625440846425137,0.0027641369961202145
4,0.25974446535110474,5.648462772369385,0.05464102327823639,0.9705121578353079,0.996312056755587,0.8469520666898228,0.002937339711934328
5,0.26068684458732605,5.684706687927246,0.05709545686841011,0.9691222135919766,0.9958747881868797,0.7099280030314513,0.0031721959821879864
6,0.26090025901794434,5.703362941741943,0.05963331088423729,0.9677067453328803,0.9953973307303956,0.8436327636515215,0.003507486544549465
7,0.25799694657325745,5.69179630279541,0.06332161277532578,0.9656458884607899,0.9958035352578714,0.843503937007874,0.003830866888165474
8,0.25632721185684204,5.707468509674072,0.06932383030653,0.9622956524308541,0.9952485514471744,0.8428217821782178,0.004833443555980921
