tau,reward_mse,reward_pearson,reward_event_auc,continue_auc,continue_bce,action_mse,action_nll
0.1,0.7796990871429443,0.5546036552074731,0.8268208124595993,nan,0.00019408277876209468,0.3769042491912842,5.593359470367432
0.3,0.19522598385810852,0.893965868542587,0.9773774566625123,0.5674654858035947,0.002415684051811695,0.35257723927497864,5.425139904022217
0.5,0.032735854387283325,0.9826531377137867,0.9990033515032211,nan,0.00016962317749857903,0.2825219929218292,5.2588324546813965
0.7,0.025802405551075935,0.9861353963096534,0.9997086432237772,0.6434618390205783,0.002371215960010886,0.25116315484046936,5.098057746887207
0.9,0.024836082011461258,0.9868271062770005,0.9995367483371892,0.8886573772626644,0.0012363342102617025,0.2170470952987671,4.926452159881592
1.0,0.02157583460211754,0.9886859758481444,0.9996557015845555,0.8879265433706695,0.0023623995948582888,0.22884002327919006,4.975771903991699
