step,reward_policy,reward_teacher,continue_policy,continue_teacher
0,1.2574384063482285,1.2538807839155197,0.9998427107930183,0.9998429715633392
1,1.2893884405493736,1.2688462808728218,0.9998223856091499,0.9998216331005096
2,1.345195971429348,1.320248782634735,0.9998285621404648,0.99982800334692
3,1.4926095604896545,1.4662014245986938,0.9998131692409515,0.999810479581356
4,1.5563703179359436,1.5084880143404007,0.9998244270682335,0.9998219609260559
5,1.6447466760873795,1.5752743184566498,0.9998055398464203,0.9998051896691322
6,1.6547116190195084,1.6008688360452652,0.9998233914375305,0.9998192638158798
7,1.708552598953247,1.675197422504425,0.9998002350330353,0.9997988864779472
8,1.6792222410440445,1.6483845263719559,0.9998218566179276,0.9998168423771858
9,1.7228727489709854,1.663127288222313,0.9997967034578323,0.9997961819171906
10,1.7028547823429108,1.5812117457389832,0.9998150393366814,0.9998146146535873
11,1.7413598746061325,1.603198304772377,0.9997941628098488,0.9997955039143562
12,1.761600747704506,1.5741207748651505,0.99981389939785,0.9998158365488052
13,1.8165867179632187,1.6022018194198608,0.9997928068041801,0.9997940212488174
14,1.8121387213468552,1.6114612519741058,0.9998100399971008,0.9998122528195381
15,1.8596507012844086,1.6013625413179398,0.9997918605804443,0.9997924938797951
